Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_Login_Excel,Chrome 121.0.0.0,,,07-02-2024 15:28:10,07-02-2024 15:29:09,58.637s,PASSED
,,,,,,,
Test Cases/Amazon/TC_Amazon_Login,Chrome 121.0.0.0,,,07-02-2024 15:28:55,07-02-2024 15:29:09,13.983s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 15:28:55,07-02-2024 15:28:58,3.056s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,07-02-2024 15:28:58,07-02-2024 15:28:59,1.449s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,07-02-2024 15:28:59,07-02-2024 15:29:01,1.840s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Sign in""))",Chrome 121.0.0.0,,,07-02-2024 15:29:01,07-02-2024 15:29:03,2.233s,PASSED
"setText(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_email""), userame)",Chrome 121.0.0.0,,,07-02-2024 15:29:03,07-02-2024 15:29:05,1.600s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/inputcontinue""))",Chrome 121.0.0.0,,,07-02-2024 15:29:05,07-02-2024 15:29:07,1.429s,PASSED
"setText(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_password""), Password)",Chrome 121.0.0.0,,,07-02-2024 15:29:07,07-02-2024 15:29:08,1.360s,PASSED
"click(findTestObject(""Amazon_Button_OR/Page_Amazon Sign In/input_Enter your password_signInSubmit""))",Chrome 121.0.0.0,,,07-02-2024 15:29:08,07-02-2024 15:29:08,0.571s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,07-02-2024 15:29:08,07-02-2024 15:29:09,0.299s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 15:29:09,07-02-2024 15:29:09,0.006s,PASSED
